UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-01796;2017;36;Harburg;BL-03;Organisation;Alternative für Deutschland;14826
2017-01838;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;39169
2017-01842;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;Freie Demokratische Partei;9245
2017-01839;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;DIE LINKE;11729
2017-01841;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01837;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;Christlich Demokratische Union Deutschlands;46740
2017-01840;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;20604
2017-01843;2017;37;Lüchow-Dannenberg – Lüneburg;BL-03;Organisation;Alternative für Deutschland;12131
2017-01885;2017;38;Osnabrück-Land;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;42438
2017-01889;2017;38;Osnabrück-Land;BL-03;Organisation;Freie Demokratische Partei;9576
2017-01886;2017;38;Osnabrück-Land;BL-03;Organisation;DIE LINKE;7908
2017-01888;2017;38;Osnabrück-Land;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01884;2017;38;Osnabrück-Land;BL-03;Organisation;Christlich Demokratische Union Deutschlands;68379
2017-01887;2017;38;Osnabrück-Land;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;11613
2017-01890;2017;38;Osnabrück-Land;BL-03;Organisation;Alternative für Deutschland;9934
2017-01932;2017;39;Stadt Osnabrück;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;47279
2017-01936;2017;39;Stadt Osnabrück;BL-03;Organisation;Freie Demokratische Partei;13353
2017-01933;2017;39;Stadt Osnabrück;BL-03;Organisation;DIE LINKE;12521
2017-01935;2017;39;Stadt Osnabrück;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01931;2017;39;Stadt Osnabrück;BL-03;Organisation;Christlich Demokratische Union Deutschlands;60185
2017-01934;2017;39;Stadt Osnabrück;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;15108
2017-01937;2017;39;Stadt Osnabrück;BL-03;Organisation;Alternative für Deutschland;0
2017-01979;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;47615
2017-01983;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;Freie Demokratische Partei;6539
2017-01980;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;DIE LINKE;6530
2017-01982;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01978;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;Christlich Demokratische Union Deutschlands;59128
2017-01981;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;11206
2017-01984;2017;40;Nienburg II – Schaumburg;BL-03;Organisation;Alternative für Deutschland;13292
2017-02026;2017;41;Stadt Hannover I;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;47549
2017-02030;2017;41;Stadt Hannover I;BL-03;Organisation;Freie Demokratische Partei;8734
2017-02027;2017;41;Stadt Hannover I;BL-03;Organisation;DIE LINKE;9579
2017-02029;2017;41;Stadt Hannover I;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02025;2017;41;Stadt Hannover I;BL-03;Organisation;Christlich Demokratische Union Deutschlands;39487
2017-02028;2017;41;Stadt Hannover I;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;12102
2017-02031;2017;41;Stadt Hannover I;BL-03;Organisation;Alternative für Deutschland;11364
2017-02073;2017;42;Stadt Hannover II;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;49744
2017-02077;2017;42;Stadt Hannover II;BL-03;Organisation;Freie Demokratische Partei;8165
2017-02074;2017;42;Stadt Hannover II;BL-03;Organisation;DIE LINKE;13775
2017-02076;2017;42;Stadt Hannover II;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02072;2017;42;Stadt Hannover II;BL-03;Organisation;Christlich Demokratische Union Deutschlands;42713
2017-02075;2017;42;Stadt Hannover II;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;16486
2017-02078;2017;42;Stadt Hannover II;BL-03;Organisation;Alternative für Deutschland;10590
2017-02120;2017;43;Hannover-Land I;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;59552
2017-02124;2017;43;Hannover-Land I;BL-03;Organisation;Freie Demokratische Partei;9325
2017-02121;2017;43;Hannover-Land I;BL-03;Organisation;DIE LINKE;8958
2017-02123;2017;43;Hannover-Land I;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02119;2017;43;Hannover-Land I;BL-03;Organisation;Christlich Demokratische Union Deutschlands;72282
2017-02122;2017;43;Hannover-Land I;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;10725
2017-02125;2017;43;Hannover-Land I;BL-03;Organisation;Alternative für Deutschland;17217
2017-02167;2017;44;Celle – Uelzen;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;48189
2017-02171;2017;44;Celle – Uelzen;BL-03;Organisation;Freie Demokratische Partei;8830
2017-02168;2017;44;Celle – Uelzen;BL-03;Organisation;DIE LINKE;7901
2017-02170;2017;44;Celle – Uelzen;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02166;2017;44;Celle – Uelzen;BL-03;Organisation;Christlich Demokratische Union Deutschlands;68655
2017-02169;2017;44;Celle – Uelzen;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;9266
2017-02172;2017;44;Celle – Uelzen;BL-03;Organisation;Alternative für Deutschland;16199
2017-02214;2017;45;Gifhorn – Peine;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;63294
2017-02218;2017;45;Gifhorn – Peine;BL-03;Organisation;Freie Demokratische Partei;8062
2017-02215;2017;45;Gifhorn – Peine;BL-03;Organisation;DIE LINKE;8827
2017-02217;2017;45;Gifhorn – Peine;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02213;2017;45;Gifhorn – Peine;BL-03;Organisation;Christlich Demokratische Union Deutschlands;60345
2017-02216;2017;45;Gifhorn – Peine;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;9342
2017-02219;2017;45;Gifhorn – Peine;BL-03;Organisation;Alternative für Deutschland;16501
2017-02261;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;54130
2017-02265;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;Freie Demokratische Partei;8034
2017-02262;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;DIE LINKE;8220
2017-02264;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02260;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;Christlich Demokratische Union Deutschlands;46181
2017-02263;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;7511
2017-02266;2017;46;Hameln-Pyrmont – Holzminden;BL-03;Organisation;Alternative für Deutschland;13143
2017-02308;2017;47;Hannover-Land II;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;69104
2017-02312;2017;47;Hannover-Land II;BL-03;Organisation;Freie Demokratische Partei;10092
2017-02309;2017;47;Hannover-Land II;BL-03;Organisation;DIE LINKE;10124
2017-02311;2017;47;Hannover-Land II;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02307;2017;47;Hannover-Land II;BL-03;Organisation;Christlich Demokratische Union Deutschlands;65815
2017-02310;2017;47;Hannover-Land II;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;10693
2017-02313;2017;47;Hannover-Land II;BL-03;Organisation;Alternative für Deutschland;17570
2017-02355;2017;48;Hildesheim;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;62448
2017-02359;2017;48;Hildesheim;BL-03;Organisation;Freie Demokratische Partei;9330
2017-02356;2017;48;Hildesheim;BL-03;Organisation;DIE LINKE;8502
2017-02358;2017;48;Hildesheim;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02354;2017;48;Hildesheim;BL-03;Organisation;Christlich Demokratische Union Deutschlands;60457
2017-02357;2017;48;Hildesheim;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;12691
2017-02360;2017;48;Hildesheim;BL-03;Organisation;Alternative für Deutschland;14433
2017-02402;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;66587
2017-02406;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;Freie Demokratische Partei;7268
2017-02403;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;DIE LINKE;9290
2017-02405;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02401;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;Christlich Demokratische Union Deutschlands;45310
2017-02404;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;6680
2017-02407;2017;49;Salzgitter – Wolfenbüttel;BL-03;Organisation;Alternative für Deutschland;18564
2017-02449;2017;50;Braunschweig;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;55641
2017-02453;2017;50;Braunschweig;BL-03;Organisation;Freie Demokratische Partei;7877
2017-02450;2017;50;Braunschweig;BL-03;Organisation;DIE LINKE;11145
2017-02452;2017;50;Braunschweig;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02448;2017;50;Braunschweig;BL-03;Organisation;Christlich Demokratische Union Deutschlands;45881
2017-02451;2017;50;Braunschweig;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;11761
2017-02454;2017;50;Braunschweig;BL-03;Organisation;Alternative für Deutschland;11377
2017-02496;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;51646
2017-02500;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;Freie Demokratische Partei;7791
2017-02497;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;DIE LINKE;8128
2017-02499;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02495;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;Christlich Demokratische Union Deutschlands;47416
2017-02498;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;6096
2017-02501;2017;51;Helmstedt – Wolfsburg;BL-03;Organisation;Alternative für Deutschland;13857
2017-02543;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;51953
2017-02547;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;Freie Demokratische Partei;7438
2017-02544;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;DIE LINKE;8525
2017-02546;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02542;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;Christlich Demokratische Union Deutschlands;59391
2017-02545;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;8128
2017-02548;2017;52;Goslar – Northeim – Osterode;BL-03;Organisation;Alternative für Deutschland;13937
2017-02590;2017;53;Göttingen;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;59032
2017-02594;2017;53;Göttingen;BL-03;Organisation;Freie Demokratische Partei;7734
2017-02591;2017;53;Göttingen;BL-03;Organisation;DIE LINKE;9905
2017-02593;2017;53;Göttingen;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02589;2017;53;Göttingen;BL-03;Organisation;Christlich Demokratische Union Deutschlands;56250
2017-02592;2017;53;Göttingen;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;19131
2017-02595;2017;53;Göttingen;BL-03;Organisation;Alternative für Deutschland;11870
2017-02684;2017;54;Bremen I;BL-04;Organisation;Sozialdemokratische Partei Deutschlands;55656
2017-02688;2017;54;Bremen I;BL-04;Organisation;Freie Demokratische Partei;20702
2017-02685;2017;54;Bremen I;BL-04;Organisation;DIE LINKE;22666
2017-02687;2017;54;Bremen I;BL-04;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02683;2017;54;Bremen I;BL-04;Organisation;Christlich Demokratische Union Deutschlands;44912
2017-02686;2017;54;Bremen I;BL-04;Organisation;BÜNDNIS 90/DIE GRÜNEN;22117
2017-02689;2017;54;Bremen I;BL-04;Organisation;Alternative für Deutschland;14290
2017-02731;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;Sozialdemokratische Partei Deutschlands;49463
2017-02735;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;Freie Demokratische Partei;9755
2017-02732;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;DIE LINKE;16739
2017-02734;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02730;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;Christlich Demokratische Union Deutschlands;36363
2017-02733;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;BÜNDNIS 90/DIE GRÜNEN;11269
2017-02736;2017;55;Bremen II – Bremerhaven;BL-04;Organisation;Alternative für Deutschland;16645
2017-02825;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;28061
2017-02829;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;Freie Demokratische Partei;4226
2017-02826;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;DIE LINKE;20849
2017-02828;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02824;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;Christlich Demokratische Union Deutschlands;36481
2017-02827;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;3547
2017-02830;2017;56;Prignitz – Ostprignitz-Ruppin – Havelland I;BL-12;Organisation;Alternative für Deutschland;21296
2017-02872;2017;57;Uckermark – Barnim I;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;24843
2017-02876;2017;57;Uckermark – Barnim I;BL-12;Organisation;Freie Demokratische Partei;4859
2017-02873;2017;57;Uckermark – Barnim I;BL-12;Organisation;DIE LINKE;23589
2017-02875;2017;57;Uckermark – Barnim I;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02871;2017;57;Uckermark – Barnim I;BL-12;Organisation;Christlich Demokratische Union Deutschlands;39102
2017-02874;2017;57;Uckermark – Barnim I;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;4714
2017-02877;2017;57;Uckermark – Barnim I;BL-12;Organisation;Alternative für Deutschland;25804
2017-02919;2017;58;Oberhavel – Havelland II;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;41423
2017-02923;2017;58;Oberhavel – Havelland II;BL-12;Organisation;Freie Demokratische Partei;9514
2017-02920;2017;58;Oberhavel – Havelland II;BL-12;Organisation;DIE LINKE;26839
2017-02922;2017;58;Oberhavel – Havelland II;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02918;2017;58;Oberhavel – Havelland II;BL-12;Organisation;Christlich Demokratische Union Deutschlands;54455
2017-02921;2017;58;Oberhavel – Havelland II;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;9685
2017-02924;2017;58;Oberhavel – Havelland II;BL-12;Organisation;Alternative für Deutschland;32762
2017-02966;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;26526
2017-02970;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;Freie Demokratische Partei;7111
2017-02967;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;DIE LINKE;37721
2017-02969;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-02965;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;Christlich Demokratische Union Deutschlands;47594
2017-02968;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;8972
2017-02971;2017;59;Märkisch-Oderland – Barnim II;BL-12;Organisation;Alternative für Deutschland;33915
2017-03013;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;31548
2017-03017;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;Freie Demokratische Partei;5763
2017-03014;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;DIE LINKE;19038
2017-03016;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03012;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;Christlich Demokratische Union Deutschlands;39991
2017-03015;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;4293
2017-03018;2017;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BL-12;Organisation;Alternative für Deutschland;21312
2017-03060;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;50588
2017-03064;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;Freie Demokratische Partei;14425
2017-03061;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;DIE LINKE;31840
2017-03063;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03059;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;Christlich Demokratische Union Deutschlands;48095
2017-03062;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;15549
2017-03065;2017;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BL-12;Organisation;Alternative für Deutschland;23890
2017-03107;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;36148
2017-03111;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;Freie Demokratische Partei;8910
2017-03108;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;DIE LINKE;30278
2017-03110;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03106;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;Christlich Demokratische Union Deutschlands;56607
2017-03109;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;8127
2017-03112;2017;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BL-12;Organisation;Alternative für Deutschland;37358
2017-03154;2017;63;Frankfurt (Oder) – Oder-Spree;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;23598
2017-03158;2017;63;Frankfurt (Oder) – Oder-Spree;BL-12;Organisation;Freie Demokratische Partei;7008
2017-03155;2017;63;Frankfurt (Oder) – Oder-Spree;BL-12;Organisation;DIE LINKE;26401
2017-03157;2017;63;Frankfurt (Oder) – Oder-Spree;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03153;2017;63;Frankfurt (Oder) – Oder-Spree;BL-12;Organisation;Christlich Demokratische Union Deutschlands;37344
